2025-10-17 11:32:13 | INFO | [50f80681-0839-4c36-bc1f-b03c16acf0dd] Archivo: 68e65222-baec-441e-a314-2ca7c3ff3ec9_LGT_Art_70_Fr_V.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 0 | Tiempo: 0.1s | Estado: OK
2025-10-17 11:35:42 | INFO | [2fefe18c-ae61-4c99-8968-5957a8421f04] Archivo: 467b8383-7026-4d4e-a34d-97aa01fc3667_LGT_Art_70_Fr_V.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 0 | Tiempo: 0.1s | Estado: OK
2025-10-17 11:45:09 | INFO | [89241b5c-d1bc-481f-a793-6689d9d0d7b2] Archivo: 672e6376-8cbb-41be-acbd-fedb906214b7_LGT_Art_70_Fr_V.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 0 | Tiempo: 0.1s | Estado: OK
2025-10-17 11:45:23 | INFO | [e1714180-70e0-432e-8e77-5708c86003b6] Archivo: b52366b9-3a94-42d6-b154-8413d8ddd2d8_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.1s | Estado: ERROR
2025-10-17 11:49:29 | INFO | [21d3aa48-37c9-4cbe-ac5c-05e3650af68e] Archivo: 7296710d-014b-4369-8ce2-a1c1bbe0e0ac_81b-LGT_Art_81_320_5_Lineas.xlsx | Nombre Corto: 81b LGT_Art_81 | Tamaño: 20.79 MB | Errores: 48 | Tiempo: 228.5s | Estado: ERROR
2025-10-17 12:09:25 | INFO | [e2e0d92c-67d4-4eec-9f2c-7f778a29ef20] Archivo: d11172f2-5aaf-4966-9bdd-1bb1a28809a6_81b-LGT_Art_81_320_5_Lineas.xlsx | Nombre Corto: 81b LGT_Art_81 | Tamaño: 20.79 MB | Errores: 48 | Tiempo: 224.1s | Estado: ERROR
2025-10-17 12:44:38 | INFO | [1f7db73f-d992-4fd8-b573-ad94caa58c33] Archivo: d5b98571-ed9d-4ab6-aebc-3f7abca7daf9_81b-LGT_Art_81_320.xlsx | Nombre Corto: 81b LGT_Art_81 | Tamaño: 20.79 MB | Errores: 43 | Tiempo: 237.0s | Estado: ERROR
2025-10-17 12:49:51 | INFO | [2b14b7e5-c3d6-4440-b981-7d09f01246bc] Archivo: 706934e9-33b8-43ed-9752-fe85b674b108_81b-LGT_Art_81_320.xlsx | Nombre Corto: 81b LGT_Art_81 | Tamaño: 20.79 MB | Errores: 43 | Tiempo: 172.7s | Estado: ERROR
2025-10-17 13:00:40 | INFO | [177e00b1-03e8-4fe6-b0c0-5fb9925cac0f] Archivo: cb91432f-0062-48f1-96ef-5c11700b44b8_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.3s | Estado: ERROR
2025-10-17 13:47:09 | INFO | [c166602c-11fb-4bf5-bc5e-23523cb95a7e] Archivo: 91bec36b-d322-4b7d-bd0d-3856a0cf9a09_LGT_Art_70_Fr_V_MAL.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 3 | Tiempo: 0.2s | Estado: ERROR
2025-10-17 13:50:04 | INFO | [2bf11280-344e-4777-9025-e07e9dfb1cb0] Archivo: eaddbf2f-e628-4f19-9f26-9de432546c42_LGT_Art_70_Fr_V.xlsx | Nombre Corto: 5 LGT_Art_70_Fr_V | Tamaño: 0.03 MB | Errores: 0 | Tiempo: 0.6s | Estado: OK
